id,idLoan,txtTranType,amtPrin,amtInt,dtPost,dtEffect,dtReverse,created_at,updated_at
35985546,40078CAE5C-01,pay,0.00,-121.94,2019-05-03,2019-05-03,2019-05-07,2019-05-03,2019-05-03
47137690,4002B4F29E-04,pay,-15.62,-134.97,2021-04-02,2021-04-02,2021-04-06,2021-04-02,2021-04-02
51912170,2006A8C3FD-02,pay,-46.82,-84.73,2021-12-24,2021-12-24,2021-12-29,2021-12-24,2021-12-24
38314011,709455E38F-02,pay,-4.81,-141.15,2019-08-16,2019-08-16,2019-09-03,2019-08-16,2019-08-16
70547388,6052C677FC-01,pay,-3.53,-74.55,2024-03-15,2024-03-15,2024-03-20,2024-03-15,2024-03-15
71001810,4065C7719C-01,pay,-16.46,-83.22,2024-04-01,2024-04-01,2024-04-03,2024-04-01,2024-04-01
41174534,F0064A8A23-01,pay,-23.94,-178.74,2020-02-03,2020-02-03,2020-02-06,2020-02-03,2020-02-03
43507461,B000881B4D-01,pay,0.00,-217.58,2020-08-11,2020-08-11,2020-08-14,2020-08-11,2020-08-11
60896213,300B7561D7-07,pay,-5.20,-131.85,2023-02-24,2023-02-24,2023-02-24,2023-02-24,2023-02-24
72573728,D0854F0C6B-04,pay,-30.10,-248.18,2024-05-29,2024-05-29,2024-06-03,2024-05-29,2024-05-29
51264028,D011C6AA48-01,pay,0.00,-20.00,2021-11-26,2021-11-26,2021-11-26,2021-11-22,2021-11-22
42048883,7005936A65-05,pay,0.00,-90.25,2020-04-01,2020-04-01,2020-04-03,2020-04-01,2020-04-01
55671014,9007553BB9-02,pay,0.00,-120.32,2022-07-11,2022-07-11,2022-07-14,2022-07-11,2022-07-11
60675798,F0003E83F3-01,pay,-141.85,-7.62,2023-02-14,2023-02-14,2023-02-14,2023-02-13,2023-02-13
68405315,7051CE0A0A-01,pay,0.00,-140.50,2024-01-03,2024-01-03,2024-01-08,2024-01-03,2024-01-03
47771570,C021C953FB-05,pay,0.00,-185.78,2021-05-17,2021-05-17,2021-05-20,2021-05-17,2021-05-17
35652817,10196732C0-01,pay,0.00,-79.88,2019-04-05,2019-04-05,2019-04-10,2019-04-05,2019-04-05
68698698,A0AC8C834F-01,pay,0.00,-157.78,2024-01-12,2024-01-12,2024-01-18,2024-01-12,2024-01-12
52991058,800C1F33DA-02,pay,0.00,-162.93,2022-02-16,2022-02-16,2022-02-16,2022-02-16,2022-02-16
52463589,A02E6F2D92-01,pay,-11.57,-141.50,2022-01-20,2022-01-20,2022-01-24,2022-01-20,2022-01-20
56726478,800F3F7233-01,pay,0.00,-80.00,2022-08-29,2022-08-29,2022-08-29,2022-08-29,2022-08-29
63824046,A066C3A550-01,pay,0.00,-158.66,2023-07-14,2023-07-14,2023-07-14,2023-07-14,2023-07-14
48021426,3008CC0B4C-02,pay,-15.98,-116.05,2021-06-04,2021-06-04,2021-06-09,2021-06-04,2021-06-04
47369422,E012B46F44-06,pay,0.00,-147.56,2021-04-16,2021-04-16,2021-04-21,2021-04-16,2021-04-16
39841236,4010BEF261-01,pay,0.00,-59.08,2019-11-13,2019-11-13,2019-11-13,2019-11-13,2019-11-13
64640136,0009752BB9-01,pay,-26.42,-101.23,2023-08-18,2023-08-18,2023-08-23,2023-08-18,2023-08-18
39652558,4000BC8787-01,pay,0.00,-100.52,2019-11-01,2019-11-01,2019-11-05,2019-11-01,2019-11-01
37789909,600897E2BC-03,pay,0.00,-167.08,2019-07-19,2019-07-19,2019-07-19,2019-07-19,2019-07-19
67554251,9000498FB5-01,pay,-0.05,-166.37,2023-12-04,2023-12-04,2023-12-07,2023-12-04,2023-12-04
45731386,6000CEA75B-04,pay,0.00,-126.52,2021-01-06,2021-01-06,2021-01-11,2021-01-06,2021-01-06
71525815,B0303C1573-01,pay,0.00,-128.07,2024-04-19,2024-04-19,2024-04-24,2024-04-19,2024-04-19
61034866,90002460CA-02,pay,-131.86,-23.27,2023-03-02,2023-03-02,2023-03-07,2023-03-02,2023-03-02
38371779,002226CAA1-01,pay,0.00,-111.05,2019-08-19,2019-08-19,2019-08-22,2019-08-19,2019-08-19
49057225,F004BF47F9-01,pay,0.00,-131.55,2021-08-06,2021-08-06,2021-08-11,2021-08-06,2021-08-06
67679709,5045C9BAF7-03,pay,0.00,-166.56,2023-12-08,2023-12-08,2023-12-12,2023-12-08,2023-12-08
45338031,C021C953FB-05,pay,0.00,-185.78,2020-12-16,2020-12-16,2020-12-21,2020-12-16,2020-12-16
66319541,107782C1AE-02,pay,-7.83,-140.96,2023-10-20,2023-10-20,2023-10-25,2023-10-20,2023-10-20
41599006,2008F196BC-01,pay,-16.35,-244.27,2020-03-02,2020-03-02,2020-03-04,2020-03-02,2020-03-02
64968846,D00DFB1AA4-03,pay,-5.65,-116.65,2023-08-31,2023-08-31,2023-09-06,2023-08-31,2023-08-31
50021341,20012EDF4E-01,pay,0.00,-116.24,2021-09-24,2021-09-24,2021-09-29,2021-09-24,2021-09-24
67212504,706183D60D-02,pay,-6.20,-164.17,2023-11-22,2023-11-22,2023-11-28,2023-11-22,2023-11-22
72280099,401A0BC52C-01,pay,-3.09,-93.48,2024-05-17,2024-05-17,2024-05-22,2024-05-17,2024-05-17
44908147,80013DA13F-01,pay,-89.26,-120.41,2020-11-20,2020-11-20,2020-11-25,2020-11-20,2020-11-20
65580429,B000AE8CA7-01,pay,-32.53,-167.81,2023-09-22,2023-09-22,2023-09-27,2023-09-22,2023-09-22
72048803,1009485BCE-01,pay,0.00,-134.10,2024-05-09,2024-05-09,2024-05-14,2024-05-09,2024-05-09
61981227,F002C9DF24-02,pay,0.00,-276.62,2023-04-17,2023-04-17,2023-04-20,2023-04-17,2023-04-17
52551192,A00691D586-02,pay,0.00,-133.44,2022-01-24,2022-01-24,2022-01-27,2022-01-24,2022-01-24
70168115,E075F6CC60-01,pay,-13.69,-68.57,2024-03-01,2024-03-01,2024-03-06,2024-03-01,2024-03-01
42924931,F0077C928E-04,pay,0.00,-178.32,2020-06-16,2020-06-16,2020-06-19,2020-06-16,2020-06-16
47914463,001B46A7C5-04,pay,-10.30,-45.06,2021-05-28,2021-05-28,2021-06-03,2021-05-28,2021-05-28
66030179,1006B03AF3-03,pay,0.00,-121.85,2023-10-10,2023-10-10,2023-10-12,2023-10-10,2023-10-10
47879242,C0144DC453-01,pay,-5.40,-54.90,2021-05-25,2021-05-25,2021-05-28,2021-05-25,2021-05-25
40289770,E0060E59F9-05,pay,0.00,-166.88,2019-12-13,2019-12-13,2019-12-18,2019-12-09,2019-12-09
63146609,1006B03AF3-03,pay,0.00,-121.85,2023-06-16,2023-06-16,2023-06-21,2023-06-13,2023-06-13
63503225,9012218D28-03,pay,-16.84,-203.65,2023-06-30,2023-06-30,2023-07-06,2023-06-30,2023-06-30
71857423,1024FD0513-02,pay,0.00,-56.19,2024-05-03,2024-05-03,2024-05-07,2024-05-01,2024-05-01
70037038,600819B671-01,pay,0.00,-101.12,2024-02-27,2024-02-27,2024-02-27,2024-02-27,2024-02-27
72706663,203713E6F8-02,pay,-18.61,-153.28,2024-06-03,2024-06-03,2024-06-05,2024-06-03,2024-06-03
65887597,305BFB4EE0-01,pay,0.00,-170.02,2023-10-04,2023-10-04,2023-10-10,2023-10-04,2023-10-04
44786383,200167493E-02,pay,-13.37,-139.15,2020-11-13,2020-11-13,2020-11-18,2020-11-13,2020-11-13
65338547,007B663C63-02,pay,-10.37,-127.82,2023-09-14,2023-09-14,2023-09-18,2023-09-14,2023-09-14
41693751,7006D1E030-05,pay,0.00,-139.71,2020-03-06,2020-03-06,2020-03-11,2020-03-06,2020-03-06
53554511,003194D848-01,pay,0.00,-162.50,2022-03-18,2022-03-18,2022-03-18,2022-03-18,2022-03-18
66286080,90032FE250-01,pay,-583.38,-298.73,2023-10-18,2023-10-18,2023-10-19,2023-10-18,2023-10-18
46890658,C00323790C-03,pay,-18.62,-132.53,2021-03-16,2021-03-16,2021-03-19,2021-03-16,2021-03-16
53613056,8004953F80-03,pay,-76.98,-13.58,2022-03-21,2022-03-21,2022-03-23,2022-03-21,2022-03-21
41256173,70A2DEE4D7-01,pay,0.00,-159.75,2020-02-07,2020-02-07,2020-02-12,2020-02-07,2020-02-07
61215763,70017D3E92-01,pay,0.00,-149.28,2023-03-10,2023-03-10,2023-03-15,2023-03-10,2023-03-10
46830426,400033B753-01,pay,0.00,-97.65,2021-03-12,2021-03-12,2021-03-17,2021-03-12,2021-03-12
46421076,F0077C928E-04,pay,0.00,-178.32,2021-02-16,2021-02-16,2021-02-19,2021-02-16,2021-02-16
46678477,0000C4C4FF-01,pay,-15.80,-108.99,2021-03-03,2021-03-03,2021-03-08,2021-03-03,2021-03-03
48316020,4011FDA6F5-01,pay,0.00,-131.55,2021-06-25,2021-06-25,2021-06-30,2021-06-25,2021-06-25
46032289,C000113790-12,pay,-42.27,-16.68,2021-01-22,2021-01-22,2021-01-27,2021-01-22,2021-01-22
61003758,4002EC87BE-01,pay,-115.89,0.00,2023-03-01,2023-03-01,2023-03-06,2023-03-01,2023-03-01
72276189,201992C292-18,pay,-20.06,-21.92,2024-05-17,2024-05-17,2024-05-22,2024-05-17,2024-05-17
52123232,E000EC6993-02,pay,0.00,-315.82,2022-01-03,2022-01-03,2022-01-06,2022-01-03,2022-01-03
69517633,207F663C7A-02,pay,-53.47,-181.48,2024-02-09,2024-02-09,2024-02-14,2024-02-09,2024-02-09
71344316,F01838C13B-04,pay,0.00,-111.53,2024-04-12,2024-04-12,2024-04-17,2024-04-12,2024-04-12
49017590,E008334EBA-01,pay,-18.49,-102.03,2021-08-05,2021-08-05,2021-08-10,2021-08-05,2021-08-05
36686974,10196732C0-01,pay,0.00,-79.88,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
66034822,80185BDFE7-01,pay,0.00,-160.79,2023-10-10,2023-10-10,2023-10-12,2023-10-10,2023-10-10
50465250,1003A46077-07,pay,-31.14,-95.30,2021-10-15,2021-10-15,2021-10-20,2021-10-15,2021-10-15
65578296,A066C3A550-01,pay,0.00,-158.66,2023-09-22,2023-09-22,2023-09-22,2023-09-22,2023-09-22
69216117,10078AB4E7-01,pay,-33.72,-80.55,2024-01-31,2024-01-31,2024-02-02,2024-01-31,2024-01-31
70234692,9000498FB5-01,pay,0.00,-166.42,2024-03-04,2024-03-04,2024-03-07,2024-03-04,2024-03-04
71968687,009BB5BDF7-06,pay,0.00,-208.49,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06
66330956,6049C6DA2E-03,pay,-10.03,-147.45,2023-10-20,2023-10-20,2023-10-25,2023-10-20,2023-10-20
68150628,9000992F96-02,pay,0.00,-128.23,2023-12-26,2023-12-26,2023-12-29,2023-12-26,2023-12-26
69163828,6085BA50F4-03,pay,0.00,-315.52,2024-01-29,2024-01-29,2024-01-31,2024-01-29,2024-01-29
65731129,003D5F2175-01,pay,-5.40,-141.99,2023-09-29,2023-09-29,2023-10-04,2023-09-29,2023-09-29
58450783,A00D0E746B-01,pay,0.00,-117.17,2022-11-14,2022-11-14,2022-11-17,2022-11-14,2022-11-14
47045421,E003A7670A-03,pay,-238.43,-193.81,2021-03-26,2021-03-26,2021-03-31,2021-03-26,2021-03-26
41781111,200066C843-01,pay,-159.40,-80.78,2020-03-13,2020-03-13,2020-03-18,2020-03-13,2020-03-13
42764972,3079C5D37F-01,pay,-117.53,-57.81,2020-06-01,2020-06-01,2020-06-04,2020-06-01,2020-06-01
69850468,C08923796A-01,pay,-700.00,-62.72,2024-02-21,2024-02-21,2024-02-26,2024-02-20,2024-02-20
42554247,A01B6B9FEC-02,pay,0.00,-323.44,2020-05-11,2020-05-11,2020-05-14,2020-05-11,2020-05-11
62904740,4000020B91-02,pay,-3.54,-52.23,2023-06-02,2023-06-02,2023-06-07,2023-06-02,2023-06-02
59134089,D0025723F3-14,pay,-23.07,-81.08,2022-12-09,2022-12-09,2022-12-09,2022-12-09,2022-12-09
58941353,40093DBED2-02,pay,-159.60,-28.16,2022-12-02,2022-12-02,2022-12-06,2022-12-02,2022-12-02
45385207,900262317A-01,pay,0.00,-116.52,2020-12-18,2020-12-18,2020-12-22,2020-12-18,2020-12-18
67021006,40469084C8-05,pay,0.00,-478.40,2023-11-15,2023-11-15,2023-11-20,2023-11-15,2023-11-15
44357772,100043D757-01,pay,0.00,-130.52,2020-10-16,2020-10-16,2020-10-20,2020-10-16,2020-10-16
60071589,9008EB7894-02,pay,-30.15,-122.78,2023-01-19,2023-01-19,2023-01-24,2023-01-19,2023-01-19
58064994,8018C9CE69-08,pay,0.00,-138.24,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27
45914144,80013DA13F-01,pay,0.00,-209.67,2021-01-15,2021-01-15,2021-01-21,2021-01-15,2021-01-15
56674544,A000C9A1D8-01,pay,0.00,-101.73,2022-08-26,2022-08-26,2022-08-30,2022-08-26,2022-08-26
43983977,E0619F88BD-01,pay,0.00,-156.13,2020-09-18,2020-09-18,2020-09-23,2020-09-18,2020-09-18
39394520,4000BC8787-01,pay,0.00,-100.52,2019-10-16,2019-10-16,2019-10-18,2019-10-16,2019-10-16
63872413,306B85C604-01,pay,-2.16,-75.18,2023-07-17,2023-07-17,2023-07-20,2023-07-17,2023-07-17
69246611,006D0B6B65-02,pay,-18.04,-96.83,2024-02-01,2024-02-01,2024-02-05,2024-02-01,2024-02-01
47431702,A00691D586-01,pay,-12.80,-88.86,2021-04-22,2021-04-22,2021-04-27,2021-04-22,2021-04-22
61625711,30071AE5E9-02,pay,-13.63,-55.50,2023-03-31,2023-03-31,2023-04-05,2023-03-31,2023-03-31
49613006,F004BF47F9-01,pay,0.00,-131.55,2021-09-03,2021-09-03,2021-09-03,2021-09-03,2021-09-03
71146556,701D4183F6-01,pay,0.00,-147.53,2024-04-05,2024-04-05,2024-04-10,2024-04-05,2024-04-05
44688445,400033B753-01,pay,0.00,-97.65,2020-11-06,2020-11-06,2020-11-10,2020-11-06,2020-11-06
66680202,8048DB650E-01,pay,0.00,-160.30,2023-11-02,2023-11-02,2023-11-07,2023-11-02,2023-11-02
43407613,90052E077E-01,pay,-9.05,-0.25,2020-08-03,2020-08-03,2020-08-06,2020-08-03,2020-08-03
55250531,C001F9F142-02,pay,0.00,-141.65,2022-06-21,2022-06-21,2022-06-24,2022-06-21,2022-06-21
41510481,2000746944-04,pay,0.00,-153.73,2020-03-02,2020-03-02,2020-03-04,2020-02-24,2020-02-24
72978095,F0921D4082-03,pay,-17.27,-144.53,2024-06-12,2024-06-12,2024-06-17,2024-06-12,2024-06-12
60285945,D00A4FCCAF-01,pay,-130.62,0.00,2023-01-27,2023-01-27,2023-02-01,2023-01-27,2023-01-27
48475930,C002E5E9E7-01,pay,-96.49,-65.30,2021-07-06,2021-07-06,2021-07-09,2021-07-06,2021-07-06
69809694,607E8B0486-05,pay,-14.85,-164.59,2024-02-20,2024-02-20,2024-02-23,2024-02-20,2024-02-20
38412266,304010EFE2-03,pay,-5.37,-131.27,2019-08-22,2019-08-22,2019-08-27,2019-08-22,2019-08-22
71765636,B04EB3AC76-01,pay,-104.93,-228.42,2024-04-29,2024-04-29,2024-05-01,2024-04-29,2024-04-29
72287712,8009A4A98A-04,pay,-2.50,-144.94,2024-05-17,2024-05-17,2024-05-22,2024-05-17,2024-05-17
52634089,B000526D04-01,pay,-3.54,-107.11,2022-01-28,2022-01-28,2022-02-01,2022-01-28,2022-01-28
44671052,F000BA105D-01,pay,0.00,-165.46,2020-11-05,2020-11-05,2020-11-09,2020-11-05,2020-11-05
53916060,7005936A65-07,pay,-29.91,-44.44,2022-04-07,2022-04-07,2022-04-11,2022-04-07,2022-04-07
62343421,200027B327-01,pay,0.00,-117.85,2023-05-05,2023-05-05,2023-05-10,2023-05-05,2023-05-05
41639564,B000D967FB-02,pay,0.00,-132.14,2020-03-03,2020-03-03,2020-03-06,2020-03-03,2020-03-03
37437452,E013201F5F-01,pay,-41.96,-41.61,2019-07-12,2019-07-12,2019-07-17,2019-07-12,2019-07-12
69089061,4068771C9D-01,pay,-4.41,-88.59,2024-01-26,2024-01-26,2024-01-26,2024-01-26,2024-01-26
67798102,305BFB4EE0-01,pay,0.00,-170.02,2023-12-13,2023-12-13,2023-12-18,2023-12-13,2023-12-13
64446912,90032FE250-01,pay,-7.46,-109.64,2023-08-10,2023-08-10,2023-08-15,2023-08-10,2023-08-10
71138045,3000B8B845-01,pay,0.00,-155.78,2024-04-05,2024-04-05,2024-04-10,2024-04-05,2024-04-05
64150232,E06684A351-01,pay,-90.98,-42.96,2023-07-28,2023-07-28,2023-08-02,2023-07-28,2023-07-28
67237765,108E58CEE1-01,pay,-15.18,-106.54,2023-11-24,2023-11-24,2023-11-29,2023-11-24,2023-11-24
42768205,90052E077E-01,pay,-71.47,-29.74,2020-06-01,2020-06-01,2020-06-04,2020-06-01,2020-06-01
55951449,2000E86024-02,pay,-111.24,-41.81,2022-07-25,2022-07-25,2022-07-28,2022-07-25,2022-07-25
72459751,402AA3B173-01,pay,-119.82,0.00,2024-05-24,2024-05-24,2024-05-30,2024-05-24,2024-05-24
45923380,F00323E519-03,pay,-70.75,-283.56,2021-01-15,2021-01-15,2021-01-21,2021-01-15,2021-01-15
72854377,406F5FF55A-03,pay,0.00,-158.66,2024-06-07,2024-06-07,2024-06-12,2024-06-07,2024-06-07
43069066,F0077C928E-04,pay,0.00,-178.32,2020-07-01,2020-07-01,2020-07-06,2020-07-01,2020-07-01
47730859,206C1EABB8-05,pay,0.00,0.00,2021-05-14,2021-05-14,2021-05-18,2021-05-14,2021-05-14
56301896,600465823E-01,pay,-116.92,0.00,2022-08-10,2022-08-10,2022-08-15,2022-08-10,2022-08-10
67377158,B0070B66EA-16,pay,-97.06,-44.25,2023-11-28,2023-11-28,2023-12-01,2023-11-28,2023-11-28
46549604,E003680255-07,pay,-15.59,-80.88,2021-02-23,2021-02-23,2021-02-23,2021-02-23,2021-02-23
35404867,9000AB314C-01,pay,0.00,-116.23,2019-03-15,2019-03-15,2019-03-15,2019-03-15,2019-03-15
70554546,90289723C5-01,pay,0.00,-118.64,2024-03-15,2024-03-15,2024-03-20,2024-03-15,2024-03-15
64325137,A0049CAFF6-03,pay,0.00,-75.45,2023-08-04,2023-08-04,2023-08-08,2023-08-04,2023-08-04
69397956,D07724EC73-01,pay,-2.81,-196.73,2024-02-05,2024-02-05,2024-02-08,2024-02-05,2024-02-05
70931259,601CDFA300-02,pay,-20.79,-103.40,2024-03-29,2024-03-29,,2024-03-29,2024-03-29
65726414,5027086A52-04,draw,800.00,0.00,2023-09-28,2023-09-28,,2023-09-28,2023-09-28
68670204,804A3E21EA-12,draw,1500.00,0.00,2024-01-11,2024-01-10,,2024-01-11,2024-01-11
69622289,601CDFA300-02,draw,600.00,0.00,2024-02-12,2024-02-12,,2024-02-12,2024-02-12
43065569,70020EBB0E-02,pay,0.00,-320.20,2020-07-01,2020-07-01,,2020-07-01,2020-07-01
49157984,9000DECD98-01,draw,800.00,0.00,2021-08-12,2021-08-12,,2021-08-12,2021-08-12
56975762,D005551A13-02,draw,600.00,0.00,2022-09-08,2022-09-08,,2022-09-08,2022-09-08
68013987,70809A7A86-01,pay,0.00,-100.00,2023-12-20,2023-12-19,,2023-12-20,2023-12-20
55740136,800F3F7233-01,draw,400.00,0.00,2022-07-14,2022-07-14,,2022-07-14,2022-07-14
63286697,70809A7A86-01,draw,800.00,0.00,2023-06-20,2023-06-20,,2023-06-20,2023-06-20
71218842,C066923A79-04,draw,400.00,0.00,2024-04-08,2024-04-05,,2024-04-08,2024-04-08
61076207,A0112014D0-01,pay,-11.30,-137.98,2023-03-03,2023-03-03,,2023-03-03,2023-03-03
68084878,A0203F5E89-01,pay,-1.87,-53.93,2023-12-22,2023-12-22,,2023-12-22,2023-12-22
71570551,C02B389229-01,draw,500.00,0.00,2024-04-19,2024-04-19,,2024-04-19,2024-04-19
51385514,C0019CE2E3-01,draw,400.00,0.00,2021-11-26,2021-11-26,,2021-11-26,2021-11-26
69832225,80812DD9CE-01,draw,500.00,0.00,2024-02-20,2024-02-16,,2024-02-20,2024-02-20
70034254,808A614FF6-12,draw,1500.00,0.00,2024-02-26,2024-02-26,,2024-02-26,2024-02-26
70034698,B04460E1BD-05,draw,1000.00,0.00,2024-02-26,2024-02-26,,2024-02-26,2024-02-26
41766026,10299C41B7-04,pay,-5.87,-143.96,2020-03-12,2020-03-12,,2020-03-12,2020-03-12
44605936,2008F196BC-02,pay,-183.37,-163.14,2020-11-02,2020-11-02,,2020-11-02,2020-11-02
53766516,6000CEA75B-05,draw,300.00,0.00,2022-03-30,2022-03-30,,2022-03-30,2022-03-30
67611548,A09DC5192B-02,pay,-46.99,-90.74,2023-12-06,2023-12-06,,2023-12-06,2023-12-06
69520058,3071BB6F94-01,pay,-10.65,-145.06,2024-02-09,2024-02-09,,2024-02-09,2024-02-09
66782949,3071BB6F94-01,draw,800.00,0.00,2023-11-03,2023-11-02,,2023-11-03,2023-11-03
67384960,A09DC5192B-02,draw,800.00,0.00,2023-11-28,2023-11-27,,2023-11-28,2023-11-28
71918251,B015124CA0-09,pay,0.00,-138.15,2024-05-03,2024-05-03,,2024-05-03,2024-05-03
72603553,906459648C-03,pay,-15.64,-94.21,2024-05-30,2024-05-30,,2024-05-30,2024-05-30
67001466,D00B8E211D-01,draw,800.00,0.00,2023-11-13,2023-11-13,,2023-11-13,2023-11-13
46986506,5003C9715B-01,draw,800.00,0.00,2021-03-22,2021-03-22,,2021-03-22,2021-03-22
51883766,7003FD1B49-01,pay,-40.55,-91.00,2021-12-30,2021-12-30,,2021-12-22,2021-12-22
64732018,400F9F9EEE-01,draw,500.00,0.00,2023-08-21,2023-08-21,,2023-08-21,2023-08-21
41302237,700A8F8EEB-01,draw,600.00,0.00,2020-02-10,2020-02-07,,2020-02-10,2020-02-10
61866319,6002270F81-07,draw,400.00,0.00,2023-04-11,2023-04-10,,2023-04-11,2023-04-11
71479023,A07A0DD558-01,pay,-9.02,-151.79,2024-04-18,2024-04-18,,2024-04-18,2024-04-18
50073604,C0051AEACD-02,draw,500.00,0.00,2021-09-24,2021-09-23,,2021-09-24,2021-09-24
59851893,A0044F5CD0-26,draw,600.00,0.00,2023-01-06,2023-01-05,,2023-01-06,2023-01-06
35939286,6001FB79E0-01,draw,800.00,0.00,2019-04-30,2019-04-30,,2019-04-30,2019-04-30
67175542,B000541FCD-02,draw,300.00,0.00,2023-11-20,2023-11-17,,2023-11-20,2023-11-20
61796795,B007FDF31B-02,pay,-90.82,-18.52,2023-04-07,2023-04-07,,2023-04-07,2023-04-07
49377875,D004A123CF-01,draw,300.00,0.00,2021-08-23,2021-08-23,,2021-08-23,2021-08-23
65627511,8048DB650E-01,draw,800.00,0.00,2023-09-22,2023-09-21,,2023-09-22,2023-09-22
45614169,E000EC6993-01,pay,-197.80,0.00,2020-12-31,2020-12-31,,2020-12-31,2020-12-31
65180981,0092A257E5-07,draw,300.00,0.00,2023-09-07,2023-09-07,,2023-09-07,2023-09-07
58692493,0007433D5A-01,draw,800.00,0.00,2022-11-21,2022-11-21,,2022-11-21,2022-11-21
67451387,5001FDD8C2-02,draw,400.00,0.00,2023-11-30,2023-11-30,,2023-11-30,2023-11-30
57000010,800111711B-01,pay,-62.13,-96.66,2022-09-09,2022-09-09,,2022-09-09,2022-09-09
41241819,0007297A2C-04,draw,600.00,0.00,2020-02-06,2020-02-06,,2020-02-06,2020-02-06
50559526,0000F1A074-01,draw,800.00,0.00,2021-10-18,2021-10-18,,2021-10-18,2021-10-18
44245171,D01099147D-02,pay,0.00,-20.00,2020-10-09,2020-10-09,,2020-10-07,2020-10-07
47822626,D01099147D-02,pay,0.00,-40.00,2021-05-21,2021-05-21,,2021-05-20,2021-05-20
64565937,40009C583E-01,draw,400.00,0.00,2023-08-14,2023-08-14,,2023-08-14,2023-08-14
