loan_id,loan_amount,loan_date,loan_status
0011CB56C9-01,300.0,2023-12-11,Current
00123A2BCB-02,800.0,2022-09-06,Charged off
0012CE6043-02,800.0,2023-11-14,Current
001368117E-01,800.0,2024-02-20,Current
0014A88F81-02,600.0,2021-12-02,Charged off
0014D1B524-06,400.0,2022-06-21,Charged off
0014D1B524-09,800.0,2023-07-14,Charged off
001702D20C-03,600.0,2023-11-30,Current
0017B9A556-01,500.0,2023-12-26,Current
001B01F5AC-01,300.0,2024-04-19,Current
001B46A7C5-04,300.0,2020-12-01,Settled
001D68274B-01,800.0,2023-12-26,Current
001DAC3DC5-03,600.0,2024-04-02,Current
0021D3CBAF-01,800.0,2024-02-27,Current
0021E2C2A4-02,400.0,2023-11-30,Current
002226CAA1-01,300.0,2019-04-01,Settled
00222A0F97-06,800.0,2024-02-12,Current
0023848AD4-03,500.0,2023-10-13,Current
00274A14F0-03,800.0,2024-04-01,Current
0027584329-01,500.0,2024-03-07,Current
00288DABC5-03,400.0,2023-11-10,Current
002A2CBCA4-02,800.0,2024-01-11,Current
002A7D72EE-01,800.0,2024-01-19,Current
002B0DEC39-04,800.0,2023-11-22,Current
002B68174A-03,800.0,2024-02-12,Current
002BED9BD3-01,700.0,2024-04-05,Current
002EC13FA3-01,500.0,2024-04-24,Current
002FCD0D49-02,800.0,2024-03-25,Current
0030A269FA-02,500.0,2024-04-03,Current
003194D848-01,600.0,2021-10-22,Settled
00320055AA-04,500.0,2024-04-30,Current
003203987B-07,1500.0,2024-04-19,Current
00325DF1E3-03,500.0,2023-12-18,Settled
00325DF1E3-04,500.0,2024-04-08,Current
0033CDCD28-01,500.0,2024-02-15,Current
003454D5D6-06,800.0,2021-01-25,Settled
00398CCC8E-01,300.0,2023-12-13,Current
0039A1F0EA-06,800.0,2023-05-09,Settled
0039A1F0EA-07,600.0,2024-04-17,Current
003B0338A0-03,600.0,2024-03-01,Current
003BF96389-01,600.0,2024-02-28,Current
003D19DDA0-03,400.0,2023-12-18,Current
003D5F2175-01,800.0,2023-08-22,Current
003DC93859-03,300.0,2023-10-03,Current
003F17E462-02,900.0,2023-10-13,Current
003F196B98-01,500.0,2023-11-10,Current
00409C9F18-04,1500.0,2024-01-02,Current
0042F8C392-02,500.0,2024-04-04,Current
00431FB7A8-01,600.0,2024-01-08,Current
0043932406-04,500.0,2024-01-05,Current
0043C021FE-02,600.0,2024-04-30,Current
004536E73D-12,1500.0,2024-03-07,Current
00483BAAC9-01,800.0,2023-12-22,Current
004D7C2459-03,800.0,2024-01-23,Current
004F7B72E3-01,500.0,2023-12-18,Current
005065E98D-03,400.0,2024-02-28,Current
005353BBCC-01,300.0,2024-03-28,Current
0053D982CA-02,800.0,2023-12-28,Current
0058108AF8-05,800.0,2024-01-17,Current
005899E4CB-01,800.0,2023-12-11,Current
00595987D7-01,600.0,2024-01-02,Current
0059D1B276-03,500.0,2023-12-15,Current
005D8F7CB1-02,300.0,2024-02-16,Current
005EB721AD-08,300.0,2024-02-13,Current
005F452337-01,300.0,2023-11-13,Current
0062EF3742-01,800.0,2020-02-12,Current
00662F824E-01,800.0,2024-01-12,Current
0067C3ED9D-01,800.0,2023-11-28,Current
006AA7D60F-02,800.0,2024-01-26,Current
006AE18D1C-01,600.0,2024-03-01,Current
006C533A22-01,800.0,2024-02-16,Current
006C9BA733-01,800.0,2024-04-16,Current
006CA2E9B7-02,800.0,2024-04-11,Current
006CEB099F-09,800.0,2024-03-22,Current
006D0B6B65-02,600.0,2023-10-05,Current
006EBAE5A6-01,800.0,2024-02-05,Current
0070655393-01,800.0,2024-02-05,Current
0071E5AE32-09,400.0,2024-03-11,Current
0071FE020A-02,300.0,2023-10-30,Current
0072B9A02A-10,1000.0,2024-01-17,Current
0073618ED4-01,600.0,2023-12-01,Current
0073C4DD87-06,600.0,2024-04-16,Current
0074B2372A-01,500.0,2024-02-05,Current
0075FBB73C-02,800.0,2024-01-02,Current
007744E299-03,800.0,2024-03-07,Current
007B663C63-02,800.0,2023-06-27,Current
007C08C413-05,1000.0,2023-11-08,Current
007C10B27B-01,800.0,2024-02-28,Current
007E88E1D9-01,800.0,2024-04-29,Current
00803AD85F-01,800.0,2024-01-05,Current
0081BD1BB9-02,1000.0,2023-11-01,Current
0084CAEBA5-04,600.0,2024-04-02,Current
0085313150-01,800.0,2024-02-28,Current
0087A153A5-01,500.0,2023-12-15,Current
008878C410-03,500.0,2023-10-31,Current
00888BE375-16,1200.0,2023-11-20,Current
0089B7A4BF-02,300.0,2024-03-04,Current
008A6BECF9-01,800.0,2023-09-05,Current
008AAA47B3-01,500.0,2023-11-24,Current
008AEC5F98-03,800.0,2024-01-08,Current
00912B2A66-09,400.0,2024-04-22,Current
0092A257E5-07,300.0,2023-09-07,Current
0095EBA30D-15,1500.0,2023-12-21,Current
009658AAE0-02,800.0,2023-12-11,Current
00966F4B71-03,500.0,2024-01-03,Current
00973C8E2E-02,700.0,2024-04-15,Current
0098103401-05,800.0,2024-02-05,Current
009BB5BDF7-06,800.0,2024-03-18,Current
009D7AA590-01,800.0,2020-02-27,Current
009F1BE43A-03,800.0,2023-10-02,Current
009FBDA9BE-24,1500.0,2024-04-11,Current
00A0A7F92D-01,300.0,2023-12-22,Current
00A37F4E21-01,400.0,2023-07-20,Current
00A7302EF4-01,400.0,2023-12-01,Current
00AAC0AAD7-07,1200.0,2023-07-06,Current
00AAD7BAB3-01,800.0,2024-04-22,Current
100012641E-01,800.0,2022-12-13,Charged off
100012641E-02,800.0,2023-12-18,Charged off
1000363769-01,800.0,2023-03-24,Charged off
100043D757-01,600.0,2020-09-01,Charged off
10004D6647-01,300.0,2019-10-28,Charged off
100053E189-01,400.0,2020-09-22,Charged off
10008B3A44-01,300.0,2022-05-16,Charged off
10009DD826-01,500.0,2021-09-28,Paid off
10009DD826-02,300.0,2023-08-22,Charged off
1000A12433-01,400.0,2020-11-27,Paid off
1000A12433-02,400.0,2020-12-23,Paid off
1000A12433-03,300.0,2021-02-18,Paid off
1000A12433-04,400.0,2021-04-06,Paid off
1000A12433-05,800.0,2021-09-20,Paid off
1000A12433-06,600.0,2022-06-07,Charged off
1000A7992B-01,600.0,2023-01-17,Paid off
1000A7992B-02,400.0,2023-05-12,Paid off
1000A7992B-03,300.0,2023-08-17,Paid off
1000B11C19-01,1000.0,2023-10-13,Charged off
1000B27E19-01,600.0,2021-07-07,Paid off
1000F86155-05,800.0,2019-07-09,Paid off
1000F86155-06,600.0,2020-05-11,Paid off
1000F86155-07,500.0,2020-11-12,Paid off
1000F86155-08,600.0,2021-02-11,Paid off
1000F86155-09,800.0,2021-05-12,Paid off
10010A8F0F-01,800.0,2022-05-31,Paid off
1001203772-01,800.0,2023-04-17,Paid off
10024849F7-01,600.0,2022-11-21,Paid off
1002FF866E-01,600.0,2023-03-21,Paid off
100301EDEF-02,600.0,2023-01-04,Paid off
100301EDEF-03,600.0,2023-11-20,Paid off
10030FC8C4-01,600.0,2020-10-22,Paid off
10030FC8C4-02,600.0,2021-10-07,Paid off
10030FC8C4-04,600.0,2023-09-29,Paid off
10030FC8C4-05,600.0,2024-04-05,Current
10031458D1-01,500.0,2019-05-07,Paid off
10031458D1-02,600.0,2019-09-23,Settled
1003569C3D-05,800.0,2019-09-04,Current
1003569C3D-06,800.0,2020-07-30,Paid off
1003A46077-01,600.0,2020-02-24,Paid off
1003A46077-02,400.0,2020-07-03,Paid off
1003A46077-03,600.0,2020-07-27,Paid off
1003A46077-04,600.0,2020-08-10,Paid off
1003A46077-05,700.0,2020-12-11,Paid off
1003A46077-06,600.0,2021-01-25,Paid off
1003A46077-07,600.0,2021-08-02,Paid off
1003A46077-08,600.0,2022-10-07,Paid off
1003A46077-09,600.0,2022-11-04,Paid off
1003A4C977-01,800.0,2022-04-04,Charged off
1003C16D1E-01,600.0,2022-07-20,Paid off
1004BCBD1F-01,600.0,2022-07-27,Paid off
10059080ED-01,700.0,2021-05-03,Paid off
10059080ED-02,800.0,2021-07-01,Paid off
1005A686CB-01,800.0,2021-11-03,Paid off
1005A686CB-02,400.0,2023-02-24,Paid off
1006380691-01,500.0,2021-09-14,Paid off
100674991E-01,300.0,2022-07-27,Paid off
100674991E-02,500.0,2023-04-21,Paid off
1006B03AF3-01,500.0,2021-07-06,Paid off
1006B03AF3-02,800.0,2022-07-27,Paid off
1006B03AF3-03,600.0,2023-05-23,Paid off
10076EAEDF-01,600.0,2020-07-27,Paid off
10076EAEDF-02,600.0,2021-06-07,Paid off
10078AB4E7-01,300.0,2024-01-11,Paid off
1007C333E7-01,400.0,2021-08-04,Paid off
1007C333E7-02,600.0,2022-06-03,Paid off
1007CBA8B7-01,800.0,2022-05-31,Paid off
1007D8A4D1-01,300.0,2019-07-12,Paid off
1007D8A4D1-02,300.0,2021-06-21,Paid off
1007F87039-01,600.0,2019-12-19,Paid off
1007F87039-02,600.0,2020-10-21,Paid off
1007F87039-03,800.0,2022-03-23,Paid off
1007F87039-04,800.0,2024-03-26,Paid off
10081EC868-01,1000.0,2023-07-28,Paid off
10087651FC-01,400.0,2021-02-16,Settled
1008D60A43-01,500.0,2022-08-22,Paid off
1009014E98-05,400.0,2023-08-17,Paid off
100920E44B-02,800.0,2021-01-20,Paid off
100920E44B-03,800.0,2021-11-12,Paid off
100920E44B-04,500.0,2022-09-21,Paid off
10092A63FA-01,300.0,2021-07-22,Paid off
10092A63FA-02,500.0,2023-09-25,Paid off
1009485BCE-01,600.0,2024-01-11,Paid off
10096A9F08-02,400.0,2019-01-08,Paid off
10096A9F08-03,800.0,2019-04-11,Paid off
1009B63569-01,600.0,2020-09-10,Paid off
1009DAA09D-32,800.0,2019-03-19,Paid off
1009DAA09D-33,800.0,2019-06-24,Paid off
1009DAA09D-34,800.0,2019-10-16,Paid off
1009DAA09D-35,800.0,2020-01-30,Paid off
1009DAA09D-36,600.0,2020-06-19,Paid off
1009DAA09D-38,1500.0,2020-12-23,Paid off
1009DAA09D-39,1500.0,2021-03-19,Paid off
1009DAA09D-40,1500.0,2021-06-17,Paid off
1009DAA09D-41,1500.0,2021-09-16,Paid off
1009DAA09D-42,1500.0,2021-12-16,Paid off
1009DAA09D-43,1500.0,2022-05-16,Paid off
1009DAA09D-44,1500.0,2022-08-16,Paid off
1009DAA09D-45,1500.0,2022-12-16,Paid off
1009DAA09D-46,1500.0,2023-03-10,Paid off
1009DAA09D-47,1500.0,2023-11-17,Paid off
100A26AD61-03,800.0,2024-03-11,Paid off
100A7431D1-04,400.0,2022-11-18,Paid off
100A7431D1-06,600.0,2023-12-26,Current
100A84B716-01,600.0,2023-08-17,Paid off
100B93D617-02,300.0,2023-11-13,Current
100BD0EFFB-01,300.0,2023-09-22,Current
100C0EF19A-01,800.0,2023-12-29,Current
100C21BF15-02,800.0,2024-03-25,Current
100D498DD4-06,800.0,2024-04-08,Current
100F7FEBCF-01,300.0,2022-05-09,Settled
100FAF4171-02,800.0,2023-11-27,Current
10107DF5AE-14,1500.0,2022-06-24,Charged off
1010D199CC-01,800.0,2022-08-17,Settled
1010F694D4-01,800.0,2023-11-28,Current
101164E413-02,800.0,2024-04-05,Current
101179525B-02,300.0,2024-04-01,Current
10120520B6-02,300.0,2024-02-20,Current
1012F29A85-07,400.0,2024-02-27,Current
1014D0812C-01,600.0,2022-01-12,Charged off
1014D0812C-03,800.0,2023-05-24,Charged off
1014E21644-01,800.0,2020-12-16,Charged off
1015C3331A-01,800.0,2023-10-30,Charged off
10181C7AC5-01,800.0,2023-12-29,Current
10183D9AC0-30,1500.0,2024-01-24,Current
10184E8A26-01,800.0,2022-11-14,Settled
10188F64E3-01,800.0,2023-12-21,Current
1018C4F668-01,300.0,2023-09-05,Current
10193BDA50-02,800.0,2019-10-29,Charged off
10196732C0-01,400.0,2019-02-04,Charged off
1019D8A65E-11,1200.0,2024-02-29,Current
101A1DC7BF-01,300.0,2024-01-16,Current
101EFF08C1-05,1500.0,2022-08-25,Settled
101EFF08C1-06,1500.0,2023-09-27,Current
102329EF6E-07,300.0,2023-05-04,Settled
102329EF6E-08,500.0,2024-01-09,Settled
1023D1BCD8-01,300.0,2024-04-24,Current
102408ED7A-03,800.0,2024-02-12,Current
1024746ED0-03,400.0,2023-12-11,Current
1024FD0513-02,300.0,2024-04-09,Current
102546D61B-01,500.0,2024-01-26,Current
102693B600-11,700.0,2024-02-05,Current
1027EEAE66-02,600.0,2024-03-11,Current
10299B1833-03,800.0,2024-02-09,Current
10299C41B7-04,800.0,2020-01-27,Current
102A26C71B-04,300.0,2023-10-19,Current
102B931C18-01,500.0,2023-05-19,Settled
102B933588-02,500.0,2024-01-16,Current
102D3D6EC2-03,800.0,2023-12-19,Current
102D92C370-01,300.0,2024-02-12,Current
102EC8981D-04,800.0,2023-08-28,Current
1031FAC6DC-01,500.0,2023-07-27,Current
10375C1553-02,500.0,2023-08-07,Current
10378A783F-01,800.0,2023-10-18,Current
1038CE0E27-09,600.0,2024-01-23,Current
1038DAD9CD-03,400.0,2024-01-25,Current
103B5065C9-03,800.0,2024-04-23,Current
103C4DCA5C-04,800.0,2023-11-01,Current
103D32C994-01,600.0,2023-10-24,Current
103F17AA35-01,500.0,2024-01-22,Current
104077B109-06,800.0,2024-04-01,Current
1040D1E210-02,600.0,2022-07-18,Current
10418B3717-01,800.0,2023-07-20,Current
1041E19EAD-01,800.0,2023-12-28,Current
1042912450-01,300.0,2024-01-18,Current
1043EB35E4-35,1500.0,2024-03-12,Current
104808DB25-01,500.0,2024-01-26,Current
1049F4314F-02,300.0,2023-10-04,Current
104D7216CE-01,500.0,2023-06-20,Current
104D8D651B-01,600.0,2023-12-07,Current
104DA90F46-09,800.0,2023-10-26,Current
104DAE86C6-05,1000.0,2024-01-04,Current
104EEE1933-02,800.0,2024-02-20,Current
104F74B63F-01,800.0,2023-12-07,Current
104FFADA35-01,800.0,2024-04-08,Current
1050E45C6D-17,1500.0,2024-03-05,Current
105287A3FE-01,300.0,2023-11-06,Current
10564620B4-01,300.0,2024-03-20,Current
1056CA8D9A-21,1500.0,2023-10-10,Current
105A55F99C-01,800.0,2024-01-25,Current
105AAADB31-01,800.0,2023-11-03,Current
105B625A23-03,800.0,2024-04-26,Current
105C022888-01,500.0,2023-12-18,Current
105C614702-01,300.0,2023-10-13,Current
105EC09A88-02,800.0,2023-11-30,Current
105ECBF2FA-02,600.0,2024-01-23,Current
10609BF7C1-01,800.0,2023-10-05,Current
10611009E5-08,600.0,2024-02-29,Current
10628FFE69-01,300.0,2024-04-09,Current
106326680A-01,600.0,2024-02-27,Current
10667D0486-02,400.0,2024-04-29,Current
106731136F-02,1200.0,2023-08-14,Current
106731136F-03,1200.0,2024-04-25,Current
10681805FE-01,600.0,2019-02-25,Current
10692BE272-01,600.0,2023-12-18,Current
106974C91E-01,300.0,2024-02-15,Current
106A13A18D-04,300.0,2023-08-28,Current
106B419D25-01,600.0,2023-12-19,Current
106C03E6AB-01,800.0,2023-10-04,Current
106CC8E504-01,700.0,2023-12-27,Current
1071E54053-10,1500.0,2023-11-16,Current
10736E5DC9-18,1500.0,2024-02-08,Current
107782C1AE-02,700.0,2023-10-05,Current
1078391A13-02,1000.0,2023-09-29,Current
1078E90CCE-01,800.0,2023-11-27,Current
10793CF1BE-02,800.0,2023-12-14,Current
1079813D40-01,800.0,2023-10-13,Current
107A0C9EF3-01,300.0,2024-01-29,Current
107FC17D29-04,1500.0,2024-01-04,Current
10816A1AC8-02,700.0,2023-12-04,Current
1085A9C6E1-09,500.0,2024-01-16,Current
1085C99DDA-01,500.0,2024-01-02,Current
10892C35C8-23,1500.0,2023-11-09,Current
108CA1910C-01,600.0,2024-02-12,Current
108D73F780-03,800.0,2020-01-21,Current
108D913F53-03,1500.0,2024-03-12,Current
108E50BC55-03,300.0,2024-03-06,Current
108E58CEE1-01,600.0,2023-10-30,Current
108E92ECC8-06,800.0,2024-04-26,Current
108F65085B-01,600.0,2023-08-23,Current
108FFED61C-03,800.0,2024-01-16,Current
1090FD1072-03,800.0,2024-02-05,Current
1094D29431-02,800.0,2024-02-01,Current
109668DD7D-03,500.0,2024-04-24,Current
10975BDF68-02,500.0,2024-04-08,Current
109B84CFD1-05,600.0,2024-02-15,Current
109CF33855-08,500.0,2024-01-22,Current
109D222317-02,1500.0,2023-12-06,Current
109E30932F-01,800.0,2023-10-05,Current
109FA860D8-01,300.0,2023-12-05,Current
10A071FAA7-01,300.0,2023-12-06,Current
200027B327-01,600.0,2022-12-05,Charged off
200066C843-01,600.0,2019-11-14,Charged off
2000746944-03,800.0,2019-03-29,Paid off
2000746944-04,800.0,2020-02-04,Charged off
2000AAF75C-01,700.0,2022-04-11,Charged off
2000BE28BB-01,800.0,2022-05-03,Charged off
2000C1E5D4-18,300.0,2019-01-28,Paid off
2000C1E5D4-19,300.0,2019-05-20,Paid off
2000C1E5D4-20,500.0,2019-08-29,Paid off
2000C1E5D4-21,700.0,2019-12-03,Paid off
2000C1E5D4-22,300.0,2022-01-05,Paid off
2000C1E5D4-23,300.0,2022-04-11,Paid off
2000C1E5D4-24,400.0,2022-07-12,Paid off
2000C1E5D4-25,400.0,2022-10-21,Paid off
2000C1E5D4-26,300.0,2023-01-23,Paid off
2000C1E5D4-27,400.0,2023-05-08,Paid off
2000C1E5D4-28,400.0,2023-08-21,Paid off
2000C1E5D4-29,600.0,2023-11-27,Paid off
2000C1E5D4-30,400.0,2024-02-20,Paid off
2000C1E5D4-31,300.0,2024-04-30,Current
2000E86024-02,300.0,2022-05-16,Paid off
2000E86024-03,800.0,2022-10-03,Charged off
2001131D5D-02,600.0,2019-09-03,Charged off
2001131D5D-03,600.0,2023-09-05,Charged off
20012EDF4E-01,600.0,2021-08-20,Charged off
20013EEC34-01,300.0,2021-11-01,Paid off
20013EEC34-02,800.0,2021-11-29,Paid off
200144E690-01,700.0,2022-02-15,Paid off
2001524F47-02,800.0,2019-09-26,Paid off
2001524F47-03,800.0,2020-11-09,Paid off
2001524F47-04,600.0,2021-09-30,Paid off
2001524F47-05,800.0,2022-03-14,Paid off
2001524F47-06,800.0,2022-08-11,Paid off
2001524F47-07,1200.0,2022-11-07,Paid off
2001524F47-08,1200.0,2023-10-16,Current
200167493E-01,500.0,2019-09-23,Paid off
200167493E-02,800.0,2020-08-17,Charged off
200167493E-03,800.0,2023-10-10,Current
200194E9B9-05,300.0,2019-07-09,Paid off
200194E9B9-06,800.0,2020-05-04,Paid off
200194E9B9-07,400.0,2021-03-08,Paid off
200194E9B9-08,600.0,2022-01-07,Paid off
200194E9B9-10,800.0,2022-04-07,Charged off
200194E9B9-12,700.0,2022-10-04,Charged off
200246CA24-01,700.0,2019-05-23,Paid off
2002963B36-01,600.0,2021-12-28,Paid off
2002BAC55B-04,1200.0,2023-08-08,Paid off
2002CE58A9-01,500.0,2023-06-26,Current
2003415C4B-01,800.0,2023-11-03,Current
2003760DF0-01,500.0,2019-10-29,Paid off
2003760DF0-02,800.0,2020-03-11,Paid off
2003760DF0-03,800.0,2020-07-23,Paid off
2003760DF0-04,800.0,2020-12-09,Paid off
2003BD5E84-01,600.0,2021-11-30,Paid off
2003BD5E84-02,600.0,2023-04-25,Paid off
200416BB35-03,800.0,2019-07-05,Paid off
200458F58D-01,800.0,2022-11-04,Paid off
200471AB8F-01,800.0,2023-02-06,Paid off
200471AB8F-02,800.0,2023-12-01,Paid off
20048706F1-01,300.0,2024-04-04,Paid off
2004EC4781-01,500.0,2023-11-08,Paid off
20050FE67E-01,800.0,2021-06-17,Settled
20050FE67E-02,600.0,2021-10-08,Settled
200536C707-01,600.0,2024-01-26,Paid off
20053AB9BE-01,700.0,2021-09-02,Paid off
200544E5E4-01,500.0,2022-11-21,Paid off
20054B95AC-01,600.0,2020-02-11,Paid off
20054BF496-01,800.0,2021-12-16,Charged off
20054BF496-02,800.0,2022-10-31,Settled
20054BF496-03,800.0,2023-04-20,Charged off
2005E2EA13-02,800.0,2019-03-25,Paid off
2005E2EA13-03,600.0,2019-04-08,Paid off
2005E2EA13-05,300.0,2020-03-04,Paid off
2005E2EA13-06,400.0,2021-06-16,Paid off
2005E2EA13-07,800.0,2021-08-23,Paid off
2005E2EA13-09,300.0,2022-04-18,Paid off
200616B895-02,600.0,2019-08-23,Paid off
200616B895-03,800.0,2020-03-10,Paid off
200616B895-04,800.0,2021-03-19,Paid off
200616B895-05,600.0,2022-09-02,Settled
2006181CF2-07,300.0,2019-10-22,Paid off
20064C51F2-01,800.0,2023-10-04,Paid off
20064C51F2-02,800.0,2023-12-26,Paid off
20064C51F2-03,800.0,2024-04-25,Current
20068D9425-01,800.0,2023-10-18,Paid off
2006967214-01,400.0,2020-11-13,Paid off
2006967214-02,300.0,2021-04-28,Paid off
2006981B66-01,600.0,2022-12-06,Paid off
2006A8C3FD-02,600.0,2021-08-30,Paid off
2006F01BC1-01,300.0,2020-08-28,Paid off
200731E258-01,300.0,2022-02-14,Paid off
2007521870-01,300.0,2019-12-05,Paid off
2007521870-02,300.0,2022-03-08,Paid off
2007521870-03,300.0,2022-07-12,Paid off
2007521870-04,300.0,2022-07-18,Paid off
2007521870-05,300.0,2023-07-05,Paid off
2007B3DF4F-01,800.0,2023-03-01,Paid off
2007B3DF4F-02,800.0,2024-03-01,Current
2007D20C15-01,800.0,2023-11-08,Paid off
200856B434-01,500.0,2020-03-13,Paid off
200856B434-02,800.0,2020-07-22,Charged off
200856B434-03,300.0,2022-03-21,Paid off
20087C77C5-01,500.0,2022-06-10,Paid off
2008BB332B-01,600.0,2020-06-19,Paid off
2008BB332B-02,500.0,2020-10-08,Paid off
2008D1D449-01,300.0,2019-01-23,Settled
2008D1D449-02,600.0,2020-08-25,Paid off
2008D2D4DF-01,300.0,2022-12-20,Paid off
2008ECF3F3-01,300.0,2022-01-05,Paid off
2008F196BC-01,600.0,2019-09-09,Paid off
2008F196BC-02,800.0,2020-07-13,Paid off
20092A128E-01,500.0,2023-03-27,Paid off
20092A128E-02,800.0,2023-06-30,Paid off
20092A128E-03,800.0,2023-10-18,Paid off
20092A128E-04,800.0,2024-02-29,Current
20092AEF7F-01,300.0,2021-12-10,Paid off
20092AEF7F-02,300.0,2022-04-27,Paid off
